DAY,LAW_CODE_NUMERIC,DF_LCC,DF_AB
16,511001,2,1
13,1654000,2,4
3,1706501,3,3
19,1200502,3,4
22,2601001,2,2
3,1450502,3,1
19,2403002,2,3
19,1554201,3,5
12,1201401,2,2
15,1552500,2,4
10,1403500,2,3
20,1200001,2,1
25,1200001,2,2
15,1200001,2,1
18,1552500,2,3
17,5110,2,1
3,140100,2,1
7,160102,3,4
10,2155500,2,4
19,511001,2,1
18,215514,3,2
24,215510,3,1
18,5110,3,1
24,2053000,2,1
7,1200512,3,1
8,1200001,2,4
7,119202,2,2
17,121110,2,4
18,1553001,3,4
17,1553005,3,3
29,2650101,2,2
19,2201601,3,3
9,1601504,3,3
19,1600500,3,1
19,1200001,2,2
15,1655000,3,2
27,145004,2,3
17,1657200,3,3
14,1450001,2,4
27,1600500,3,2
29,1552500,2,4
22,1702000,2,3
18,2200300,2,1
19,1702000,2,3
23,1200001,2,3
9,1600500,3,2
9,511001,2,2
17,1200502,3,4
16,1651503,2,2
25,1200001,2,2
18,2200300,2,3
17,1601503,3,1
18,1601503,3,4
10,1450502,3,3
1,1200512,3,3
25,1552500,2,3
5,512000,2,1
30,1201401,2,4
20,140100,2,3
27,140251,3,2
19,2155201,3,1
17,512000,2,4
10,1200502,3,1
20,1702000,2,4
18,1452000,3,3
8,119203,2,2
13,511001,2,2
24,2201601,3,2
28,215510,3,3
30,1402501,3,2
16,2155500,2,3
17,1601001,3,3
27,5110,2,2
27,1553001,3,2
8,2601001,2,3
29,1552500,2,2
20,2155600,3,3
4,511001,2,5
21,1200001,2,4
24,1200800,3,3
8,1302504,3,4
3,2201601,3,3
12,1200001,2,1
15,1201401,2,4
30,1552500,2,5
5,2601001,2,1
1,1553008,3,2
25,1651503,2,2
13,1950501,2,4
18,1552500,2,4
11,1552500,2,1
13,1201401,2,2
16,1200001,2,3
3,1201401,2,2
17,1402000,3,2
28,1402000,3,5
4,1601001,3,3
11,2650101,2,2
19,2403002,2,4
9,1552500,2,3
20,1651503,2,1
2,1200001,2,3
5,1450001,2,2
18,215510,3,4
13,2200300,2,2
11,1200001,2,1
12,511001,2,2
23,1552500,2,3
21,1651503,2,4
18,1600500,3,3
4,2052001,2,2
15,1200001,2,1
25,265031,3,2
2,1403002,3,4
18,1552500,2,3
21,1200502,3,4
25,2155203,3,4
3,1552500,2,4
6,392002,2,2
13,1654502,3,2
7,2053000,2,2
20,2201601,3,3
21,1211100,2,1
3,1654000,2,3
18,215510,3,1
14,1601001,3,3
12,1200502,3,1
11,2201607,3,2
12,1552500,2,4
5,1552500,2,3
14,145004,2,1
15,1552500,2,4
2,2200300,2,5
21,1552500,2,2
26,2403002,2,1
20,1553001,3,2
17,1651503,2,1
18,1553005,3,1
22,1450502,3,1
21,1211200,3,4
10,2700506,2,4
20,1600500,3,1
27,2650201,3,1
15,511001,2,1
15,1552500,2,4
18,1552500,2,3
21,1200501,3,3
5,511002,2,4
24,1201401,2,4
18,215510,3,2
12,1200502,3,4
26,181400,2,4
22,1553001,3,2
15,1200001,2,3
24,1201401,2,4
16,1200001,2,2
14,1651503,2,2
16,1553004,3,4
28,2650102,2,1
16,1552500,2,3
4,1552500,2,2
25,1451000,3,1
17,1201401,2,1
18,1201401,2,2
1,1200001,2,3
17,1200001,2,1
19,2200603,3,1
27,1651503,2,4
12,1202500,3,1
13,2200300,2,4
18,5700600,4,4
19,5110,2,4
18,1200001,2,4
22,1200501,3,1
15,1553008,3,3
8,265031,3,1
23,1552500,2,3
26,1654000,2,4
14,2200601,3,3
17,1552500,2,3
21,1401501,2,3
9,1402501,3,3
24,1552500,2,4
11,2403001,2,2
29,1200502,3,2
27,1200002,2,3
6,1200001,2,3
17,1450502,3,4
18,2403200,3,3
18,1552500,2,3
16,1200501,3,2
10,1450502,3,3
30,1211200,3,1
15,1552500,2,3
20,1651503,2,1
19,0,1,1
18,5110,2,3
30,160102,3,4
16,2200300,2,1
9,1456500,2,3
18,2200300,2,3
5,2650201,3,3
1,2200300,2,2
20,1201401,2,1
29,1552500,2,3
18,1200001,2,1
20,1552500,2,1
19,2601001,2,2
18,2200300,2,2
21,2155500,2,4
11,1200001,2,4
10,1200001,2,4
17,511001,2,5
20,245002,2,5
12,1552500,2,3
22,1201001,3,1
5,155402,3,3
18,160102,3,1
25,215510,3,1
15,1600500,3,2
3,5110,2,3
13,1651503,2,2
17,1601001,3,2
25,1655000,3,1
16,1601001,3,4
10,1200001,2,1
26,1553004,3,4
13,1651503,2,3
18,1553001,3,2
7,1553001,3,4
13,60001,4,3
6,51101,2,2
13,215510,3,2
15,1211100,2,3
16,1402000,3,4
10,1600500,3,3
22,1200502,3,2
17,1553005,3,3
19,1553004,3,4
6,1553501,3,3
3,5110,3,3
17,511001,2,2
5,240301,2,3
20,2650101,2,1
9,1200001,2,4
24,1651503,2,3
22,1451000,3,4
14,140100,2,1
3,1601001,3,3
19,1450502,3,4
18,215510,3,2
24,1552500,2,1
16,1305201,2,1
24,215510,3,4
20,1200001,2,3
27,511001,2,1
20,1200503,3,1
21,2650201,3,1
22,2650101,2,2
21,2205002,2,3
21,1552500,2,4
17,1200001,2,4
18,160102,3,2
21,1200001,2,3
20,2203901,3,4
22,1450001,2,1
28,1552500,2,4
20,1552500,2,3
12,1051500,3,1
26,1200001,2,5
10,1702500,3,4
4,1200001,2,2
26,1552500,2,3
24,1552500,2,4
20,1553001,3,3
16,1450502,3,4
10,1202500,3,1
18,1200001,2,3
16,1552500,2,3
21,1192000,2,3
3,1200502,3,2
18,1201401,2,4
16,1252501,3,3
14,1200001,2,3
19,1651503,2,3
25,1200001,2,1
20,1201100,3,4
15,1201401,2,2
6,1200001,2,3
18,2201601,3,3
22,265031,3,2
19,1201500,2,3
11,1553001,3,1
24,1651503,2,4
10,1202000,2,2
18,1200001,2,3
17,1402501,3,1
19,2154002,3,2
6,119204,2,3
23,2155003,2,3
21,1450001,2,4
5,1553001,3,2
9,1200001,2,4
23,1701002,3,1
27,2200300,2,4
11,2702100,2,3
20,2200300,2,3
20,1450502,3,4
5,1554201,3,1
23,2601001,2,1
21,1200501,3,4
2,1200001,2,1
12,2601001,2,4
13,119203,2,4
23,1202500,3,5
30,1553004,3,2
16,1553004,3,3
9,265031,3,4
30,1552500,2,3
4,1200502,3,1
27,215510,3,4
22,1211100,2,4
12,2200601,3,3
20,1201401,2,4
1,1950500,2,1
15,2601001,2,4
15,1201401,2,1
20,1702000,2,2
22,1402000,3,3
5,265031,3,4
13,1450001,2,3
5,140100,2,3
1,1553005,3,3
23,1200001,2,1
28,1651503,2,2
21,1553008,3,3
15,1552500,2,4
19,9000016,0,1
3,511001,2,1
19,2201601,3,3
19,1451000,3,4
3,121110,2,2
10,1601504,3,1
3,1654000,2,4
28,2200300,2,4
5,1702000,2,3
10,1950501,2,1
18,1601001,3,3
15,1200001,2,1
2,1200501,3,3
13,2200300,2,3
18,1450502,3,3
4,1305201,2,2
25,1200001,2,2
15,1402000,3,2
16,1450001,2,4
6,1702000,2,2
9,215515,3,1
16,1601001,3,2
18,1651503,2,3
13,2203901,3,3
19,265101,3,3
25,1200001,2,3
16,1200001,2,5
14,1200502,3,1
17,2154002,3,3
29,1450502,3,1
22,1352000,3,3
5,1651503,2,2
11,2203901,3,1
16,1200001,2,4
18,1200502,3,4
5,215510,3,4
7,6000,2,4
19,5110,2,2
28,1200502,3,4
19,1451000,3,3
8,1200001,2,3
17,1651503,2,3
19,2200300,2,1
19,1651503,2,2
18,1403500,2,4
17,2650201,3,1
16,511001,2,5
5,1601001,3,5
9,2650101,2,1
20,215510,3,3
19,1200001,2,1
24,1201001,3,3
29,1651503,2,2
26,2200901,3,1
17,1600500,3,3
22,1200501,3,4
17,1650501,2,3
29,2601001,2,1
12,1200001,2,4
15,1950502,2,4
21,511001,2,5
24,1200501,3,4
20,1651503,2,4
30,215510,3,1
10,5110,3,3
5,512000,2,2
30,1552500,2,4
17,265031,3,2
17,1200001,2,2
2,1601504,3,2
18,1552500,2,3
24,1200001,2,2
27,1553502,3,2
18,1200001,2,1
7,2403001,2,2
20,215510,3,2
20,511001,2,2
9,1200501,3,4
25,5110,3,1
15,1450001,2,2
6,2200300,2,3
13,2201601,3,3
19,1201401,2,1
6,265031,3,1
9,1553001,3,1
15,1200001,2,1
6,2200300,2,2
12,1600500,3,2
14,1200001,2,4
21,1450001,2,1
4,1552500,2,2
13,1201401,2,4
23,1211100,2,2
3,215513,3,3
11,1553005,3,2
9,1201401,2,3
4,511001,2,1
2,1200001,2,1
16,1200501,3,4
20,1552500,2,3
15,1200001,2,1
28,1552500,2,3
21,11922,2,4
6,1553008,3,1
2,215510,3,4
5,1553502,3,3
1,1553001,3,3
26,1651503,2,3
13,511001,2,1
9,1200001,2,3
5,1200502,3,3
18,130351,3,1
2,215510,3,1
7,1552500,2,3
27,2204301,3,2
21,1450502,3,1
1,1553008,3,1
17,5110,2,4
5,2053000,2,3
13,2650101,2,1
16,1200512,3,1
12,1200001,2,2
3,1553501,3,2
22,2200300,2,1
15,1601503,3,1
18,2053000,2,1
18,1450502,3,4
12,1211300,3,2
13,1552500,2,3
16,1702000,2,2
15,1200001,2,3
25,2601001,2,4
18,2053000,2,1
18,1553004,3,1
19,511001,2,4
10,1552500,2,3
18,1651503,2,1
22,1553001,3,4
14,1601001,3,3
11,1552500,2,2
19,51101,2,5
24,1200001,2,2
14,1553005,3,2
9,1200001,2,1
20,1552500,2,3
11,511001,2,1
13,1200501,3,1
26,140251,3,1
20,1902300,2,2
24,1654501,3,3
3,511001,2,1
13,1902300,2,3
27,1200001,2,1
12,1401501,2,1
10,1201401,2,2
12,51101,2,2
5,2200300,2,4
23,2601001,2,3
2,1450502,3,1
26,1553001,3,1
23,1202000,2,4
8,511001,2,3
11,2650102,2,3
9,1450501,3,1
10,1200001,2,3
14,1200800,3,4
1,160102,3,4
9,1402000,3,4
10,1402000,3,4
25,1200502,3,2
3,2601001,2,4
17,1553005,3,4
9,1707003,3,3
25,1200001,2,2
18,1552500,2,3
18,1651503,2,2
1,1200501,3,4
16,1200001,2,1
25,215510,3,1
13,1211200,3,1
26,1200001,2,1
11,1200001,2,2
11,170703,3,2
30,215510,3,5
30,1651503,2,3
23,1702500,3,2
1,2650104,2,3
22,511001,2,4
5,1306501,3,2
21,1200001,2,3
15,511001,2,1
27,2650101,2,4
2,1601502,3,2
13,1450502,3,1
6,160102,3,1
27,1200501,3,2
1,1303501,3,2
5,2200601,3,4
26,1200502,3,3
18,1706501,3,4
24,1552500,2,2
18,1450502,3,4
27,1201401,2,5
25,2053000,2,1
6,1200001,2,3
4,1702000,2,1
17,1200501,3,4
10,2650101,2,4
4,1200502,3,4
4,1552500,2,1
23,215510,3,5
3,2403002,2,2
21,265031,3,4
8,1654000,2,1
4,1651503,2,2
4,1553501,3,3
8,1450502,3,4
6,145004,2,2
13,1450001,2,4
3,1200001,2,2
15,1600500,3,4
18,1200001,2,3
13,265031,3,2
24,2650201,3,4
18,1552500,2,3
4,1552500,2,4
14,215510,3,3
3,2053000,2,1
4,2601001,2,4
25,0,1,1
12,1552500,2,2
7,1200501,3,4
10,0,1,1
2,1702500,3,3
13,1552500,2,3
13,1702000,2,3
10,1401502,2,2
13,1654000,2,1
14,1402501,3,1
9,1200001,2,5
6,1553001,3,3
15,1200502,3,2
11,1552500,2,2
26,1252501,3,2
17,1200502,3,4
21,1553008,3,1
8,1450502,3,3
6,2650201,3,3
28,1702500,3,2
13,1553001,3,3
15,1450502,3,2
6,1553001,3,3
13,1201300,3,4
26,215510,3,4
26,1552500,2,5
1,215514,3,4
16,1201401,2,2
30,1200001,2,3
12,2200300,2,4
5,1552500,2,1
15,1202500,3,2
23,1600500,3,3
14,51104,2,2
21,1200001,2,4
20,1552500,2,3
22,1200001,2,4
22,1450502,3,4
6,2202101,3,5
20,1552500,2,3
12,5110,3,1
17,1553001,3,3
6,2056000,3,4
6,161186,1,1
24,1402000,3,4
9,2601001,2,3
13,1211200,3,2
11,1702500,3,1
24,1200502,3,1
12,2200602,3,1
29,1302503,3,4
17,1200501,3,2
8,145001,3,2
13,160102,3,1
13,1200001,2,4
9,1200502,3,4
12,2403002,2,1
1,1200001,2,3
25,0,1,1
11,2204301,3,3
22,1200001,2,4
8,2650101,2,3
16,1552500,2,3
10,1650600,3,1
18,215510,3,1
19,1201401,2,3
7,1211200,3,3
7,1200001,2,1
10,51101,2,4
14,9000016,0,3
2,1201401,2,2
2,1450502,3,3
5,1202000,2,2
1,1200001,2,3
12,1211200,3,2
2,1211200,3,1
28,2403001,2,2
2,265031,3,1
26,1651503,2,4
10,1200501,3,3
24,2155003,2,2
17,1552500,2,1
25,1200001,2,1
9,2651302,3,2
4,1305201,2,4
4,140100,2,3
9,1252501,3,1
10,1553004,3,5
12,1200001,2,5
14,1601502,3,3
7,1202000,2,4
26,1553004,3,2
18,1657200,3,3
1,2703000,3,2
11,1200001,2,4
24,1654000,2,1
21,1450502,3,3
16,2601001,2,4
10,2201607,3,1
16,1200001,2,1
20,1200001,2,2
20,1552500,2,1
19,1305201,2,4
20,1651503,2,2
13,265031,3,1
14,2053000,2,2
4,1553001,3,3
14,1200001,2,4
17,2205003,2,2
21,2155600,3,1
16,2053000,2,3
1,51101,2,4
5,5700600,4,4
11,1651503,2,2
5,9000016,0,1
27,1700500,2,3
24,2203901,3,1
9,1651503,2,2
1,1703000,3,1
18,1200502,3,3
3,1200001,2,1
11,1552500,2,3
26,2451500,2,4
17,2302001,2,4
15,1601504,3,1
4,2155003,2,2
16,1450502,3,3
6,1200001,2,3
6,1200502,3,3
4,1201001,3,3
23,215510,3,1
23,2200300,2,4
6,1553001,3,3
9,1654501,3,4
5,2200300,2,4
17,1600500,3,2
19,1200001,2,1
26,2201601,3,4
17,2601001,2,4
18,2201802,3,1
3,1200001,2,4
2,265031,3,1
6,1305202,2,2
21,1553502,3,3
7,2200300,2,4
11,1553001,3,1
20,0,1,1
14,120141,3,1
12,130751,3,1
13,1701501,3,1
28,1200502,3,2
16,2053000,2,4
16,51101,2,3
21,2601001,2,1
17,1553005,3,4
25,1211200,3,2
23,2650101,2,3
28,1450001,2,3
1,2203901,3,3
20,1450502,3,4
4,1600500,3,3
23,1450004,2,4
16,1701003,3,3
23,1202000,2,5
15,1200001,2,1
7,1450001,2,5
17,5110,2,4
15,5110,3,1
19,1552500,2,1
25,1552500,2,3
30,1200001,2,2
2,1553008,3,2
9,1211100,2,1
8,1200001,2,4
5,9000049,0,1
30,511002,2,1
14,0,1,4
9,2053000,2,2
8,2402601,1,4
22,215510,3,3
7,512000,2,1
14,1211100,2,1
18,1553005,3,4
3,2650101,2,4
19,1202000,2,2
19,2201601,3,5
25,1200502,3,1
1,215510,3,5
10,1200501,3,3
28,1201500,2,3
9,1450003,2,4
25,1450001,2,1
3,1654501,3,4
17,1200501,3,3
24,1402000,3,4
12,1553004,3,1
16,1200800,3,4
25,511001,2,2
23,2155003,2,3
2,119203,2,3
9,1200001,2,1
19,1553001,3,3
16,2601001,2,5
24,1450001,2,1
25,130351,3,3
17,2403002,2,2
20,215510,3,1
30,512000,2,1
4,5110,2,2
13,2200602,3,4
3,1707001,3,2
24,1201300,3,2
7,5110,3,1
1,1553001,3,2
15,1200502,3,1
1,160102,3,3
16,1211200,3,1
8,1200001,2,2
20,1702000,2,3
5,1201001,3,2
1,1552500,2,3
25,1200001,2,4
14,1200501,3,2
11,215510,3,4
6,1450502,3,2
14,2200300,2,1
18,1200001,2,3
7,1211100,2,4
13,2154002,3,1
14,1902300,2,4
9,1200001,2,1
12,2201601,3,1
20,1200501,3,1
5,1651502,2,5
6,2201601,3,3
1,2650101,2,1
24,2405002,2,1
9,160102,3,1
2,265031,3,1
19,1200001,2,4
30,1553004,3,4
11,1450001,2,2
4,2403002,2,4
28,1552500,2,3
5,1200502,3,4
13,215510,3,3
2,119202,2,1
20,511001,2,1
12,215511,3,2
17,1200001,2,4
10,2650102,2,2
12,1552500,2,3
12,215510,3,2
27,119203,2,2
19,1553001,3,1
8,215510,3,1
28,1200502,3,2
23,9000016,0,2
9,2201601,3,3
12,1200501,3,4
23,1200501,3,4
15,2053000,2,4
8,1200502,3,4
16,1651601,2,4
18,1552500,2,2
3,1200502,3,3
22,1552500,2,4
15,1553005,3,4
15,2650201,3,1
16,511001,2,2
29,1200502,3,4
5,1654502,3,1
5,1655000,3,3
7,215510,3,1
1,1200001,2,2
8,1211100,2,3
9,1553001,3,2
8,1200502,3,1
8,1200502,3,1
25,215510,3,4
24,1211100,2,2
4,1552500,2,4
11,1657200,3,3
24,1651503,2,1
10,1552500,2,3
9,215510,3,4
6,1552500,2,3
21,1211200,3,1
11,511001,2,5
24,1201001,3,5
20,2200300,2,3
11,511001,2,4
12,1211100,2,1
6,1950500,2,3
13,1200001,2,1
2,1552500,2,5
7,1200001,2,3
30,1654000,2,2
7,1600500,3,4
6,1655000,3,2
19,1600500,3,1
9,1552500,2,1
24,1200001,2,1
7,1201500,2,3
19,1200002,2,2
2,1202500,3,4
19,1552500,2,4
14,1450001,2,1
4,1200001,2,3
6,1200001,2,3
22,2601001,2,1
11,1702500,3,1
13,1701501,3,5
27,215510,3,4
10,511001,2,5
1,2601001,2,4
22,2200300,2,3
20,1655000,3,1
10,1200502,3,2
26,1200001,2,2
10,1601001,3,1
9,1402000,3,4
17,1702000,2,2
17,215510,3,1
8,1553001,3,3
12,2200300,2,2
25,1552500,2,2
15,1211100,2,3
12,1600500,3,3
25,1200502,3,1
12,1402000,3,4
11,2200601,3,1
12,1200503,3,2
17,1200001,2,3
3,1450502,3,4
5,2204301,3,2
6,1456002,2,1
7,1651503,2,3
20,1553001,3,2
11,5110,2,5
12,1200001,2,1
5,215510,3,4
24,1553501,3,3
29,1200001,2,2
25,1202500,3,2
15,1200502,3,2
6,265025,3,1
4,1200001,2,2
22,1552500,2,1
23,2650201,3,5
10,1553004,3,5
5,2650201,3,4
13,1200001,2,1
19,1601501,3,4
14,1200001,2,1
14,1703000,3,4
3,1200800,3,3
28,1200001,2,2
5,1651503,2,1
6,1601503,3,2
26,2203901,3,1
26,2200300,2,5
5,1200502,3,2
9,1200502,3,3
1,2601001,2,4
10,1200001,2,3
18,9000049,0,3
15,1552500,2,1
5,1200001,2,4
18,1651503,2,1
2,2155500,2,4
7,265031,3,2
11,1601001,3,3
7,2650101,2,1
3,1553501,3,2
6,1552500,2,3
10,1200001,2,1
26,2650201,3,1
9,1200001,2,2
12,1211100,2,4
3,1651503,2,2
19,2403002,2,3
1,1450502,3,1
3,1553008,3,1
15,2155003,2,2
1,1211100,2,3
6,120250,3,4
16,1200501,3,2
22,1200502,3,4
8,2053000,2,3
15,1552500,2,4
17,1200800,3,1
13,2155003,2,2
6,2601001,2,2
2,1450001,2,3
28,1702000,2,1
8,5110,2,4
14,240301,2,3
5,215510,3,2
14,1554001,3,2
9,1402501,3,3
13,891,2,1
17,1553004,3,2
17,1200501,3,1
6,140100,2,2
1,1651503,2,3
23,1553012,3,2
7,2651900,3,1
25,1601001,3,4
3,1552500,2,1
3,215510,3,1
28,511001,2,4
4,1211100,2,3
9,1657200,3,4
12,2201601,3,2
15,2650101,2,1
9,1200001,2,1
4,2405501,3,3
12,1654000,2,2
9,1657200,3,3
10,1651503,2,2
9,1201401,2,2
10,1200502,3,2
21,1651503,2,2
18,1200700,3,2
9,1200503,3,4
7,2403002,2,1
16,1553005,3,1
19,2601001,2,1
18,2200300,2,1
1,511001,2,1
2,1200001,2,4
2,1450502,3,2
12,1651503,2,2
13,1211100,2,3
3,51101,2,2
5,0,1,2
13,1552500,2,2
10,2200300,2,2
2,265031,3,4
23,1200001,2,2
10,1700500,2,2
27,1450001,2,4
22,119202,2,5
8,2403002,2,2
17,1200501,3,1
19,1202000,2,2
17,1200511,3,4
18,2650201,3,2
4,5110,2,3
19,215510,3,5
2,1402501,3,2
24,265101,3,1
9,1201500,2,2
6,260250,3,2
22,1552500,2,1
18,160102,3,1
1,1552500,2,2
18,511001,2,1
27,1200001,2,4
5,1702000,2,4
4,1702000,2,1
6,215510,3,1
13,1552500,2,3
16,1651503,2,2
5,26503,3,2
12,1651503,2,2
7,1211100,2,1
25,1402502,3,1
27,2601001,2,4
6,1552500,2,2
8,2053000,2,3
17,1200502,3,1
28,2200300,2,5
30,1450001,2,4
22,119203,2,1
4,1200502,3,1
25,1552500,2,3
10,1211100,2,2
27,1552500,2,1
30,1200001,2,3
11,1552500,2,4
20,1200001,2,2
24,1200001,2,2
14,1552500,2,3
6,1600500,3,1
12,1202500,3,1
8,1211200,3,2
13,170703,3,3
4,2650101,2,4
7,2155003,2,3
11,1201401,2,1
10,1552500,2,3
23,1252501,3,3
20,1201401,2,2
12,1200800,3,1
18,1252501,3,2
20,1201401,2,1
9,1200502,3,4
24,1211100,2,2
5,1650501,2,4
16,1651503,2,1
2,265031,3,1
3,2650101,2,3
20,1651503,2,1
29,1200501,3,5
24,1252501,3,2
10,0,1,1
13,1200502,3,1
29,2650104,2,1
24,2650201,3,4
11,1702000,2,1
9,1950500,2,1
6,119202,2,4
5,1553001,3,1
20,1200001,2,4
26,1450502,3,4
21,1651503,2,2
14,1211100,2,3
8,511001,2,1
11,1051500,3,3
18,1200501,3,2
23,1552500,2,3
8,1655000,3,4
6,215510,3,3
12,1553004,3,3
12,2601001,2,1
4,2601001,2,4
9,1201401,2,1
20,1552500,2,1
6,1211100,2,1
20,1201401,2,1
13,1700500,2,1
21,1650800,3,4
27,1703000,3,3
26,1553001,3,3
5,2201601,3,1
11,215510,3,1
6,1450502,3,3
29,215510,3,4
2,1211100,2,4
12,1211200,3,4
21,1702000,2,2
19,2650201,3,3
1,2053000,2,1
24,1600500,3,1
21,1552500,2,1
19,215510,3,4
19,1552500,2,1
8,1552500,2,4
26,1402000,3,2
17,1552500,2,1
15,1552500,2,4
6,1651503,2,2
11,511001,2,1
14,1211300,3,4
21,1200001,2,1
17,2223001,2,2
18,5700600,4,1
4,1650600,3,3
4,1200001,2,2
25,1402502,3,1
6,511001,2,4
15,1450501,3,3
28,1950500,2,2
8,1552500,2,4
4,1654501,3,1
29,1552500,2,1
7,511003,3,2
19,1211100,2,3
22,2650201,3,1
16,1553004,3,4
17,0,1,1
5,1201401,2,2
7,1552500,2,1
11,140100,2,1
11,1601001,3,3
26,1200001,2,4
7,1552500,2,5
6,1200501,3,2
19,1702000,2,4
12,2200300,2,1
5,1450502,3,5
30,375007,2,2
18,1200800,3,2
4,170703,3,2
1,1200001,2,4
1,1200001,2,1
18,1211200,3,1
5,1651601,2,3
18,1403500,2,1
8,511001,2,2
10,1702500,3,3
5,1200800,3,3
4,2203901,3,1
19,1200001,2,2
8,1552500,2,1
13,1552500,2,2
13,1450502,3,4
23,1200501,3,3
18,1200001,2,1
1,1552500,2,3
14,1201401,2,3
13,2203901,3,2
14,2052502,3,2
27,1200502,3,2
24,120104,3,2
9,1654502,3,4
4,1553004,3,4
18,1450502,3,3
4,215510,3,2
22,1552500,2,4
23,1651503,2,1
5,1552500,2,3
8,2200902,3,1
9,511001,2,4
29,1200502,3,2
12,6000,3,3
20,2601001,2,2
26,2053000,2,3
7,1150001,2,3
30,1651503,2,1
25,1654502,3,1
5,1553001,3,1
10,1200001,2,1
9,1200001,2,2
4,119203,2,3
6,1950501,2,3
18,215510,3,1
11,1552500,2,2
5,5110,2,2
15,1200001,2,2
12,1201401,2,4
7,1211100,2,3
25,2155001,2,2
19,1553004,3,1
21,1211200,3,2
1,265031,3,3
1,1654501,3,2
2,2201601,3,1
8,1651503,2,2
16,1651503,2,1
11,181400,2,4
7,1651503,2,2
2,1211200,3,3
14,1450001,2,3
22,1211200,3,2
3,1200501,3,1
9,2200300,2,1
6,1200800,3,2
2,1201401,2,1
23,1553001,3,4
19,1200001,2,4
12,1651503,2,1
22,1702500,3,2
8,1202000,2,3
21,1200001,2,1
20,1552500,2,1
21,1202500,3,1
30,1456002,2,1
5,1200001,2,4
7,1450001,2,3
9,1200502,3,2
10,1651503,2,1
1,1700500,2,2
23,1200502,3,4
13,1252502,3,3
1,119203,2,4
9,1200501,3,3
28,1200001,2,2
18,1200001,2,4
21,1553005,3,3
12,1200504,3,4
4,2201601,3,3
14,1201401,2,4
28,5700600,4,4
26,1200001,2,4
12,1201401,2,1
25,1200502,3,2
24,215510,3,2
30,1654000,2,1
6,1600500,3,2
12,1200800,3,2
10,1601001,3,1
28,140100,2,1
3,2200300,2,1
27,5110,2,4
13,1651503,2,3
18,1450502,3,3
29,265031,3,4
25,1651502,2,3
24,1902300,2,4
5,1553005,3,4
27,1601504,3,3
3,1252501,3,2
27,1452000,3,1
11,1450502,3,4
7,2200300,2,2
17,1200512,3,3
26,1902300,2,3
20,1655000,3,3
21,2200300,2,3
16,511001,2,4
13,1552500,2,4
25,2650101,2,3
6,1201401,2,1
25,1200001,2,1
21,2223001,2,4
24,1651503,2,3
11,1252501,3,3
2,1200001,2,2
4,1402501,3,1
13,1552500,2,2
22,2201601,3,1
10,1552500,2,2
4,1200001,2,4
5,160102,3,1
10,2200601,3,4
26,1553001,3,1
26,1552500,2,3
26,1200001,2,4
18,2403001,2,1
8,215510,3,1
1,215510,3,4
26,1201001,3,1
21,1552500,2,1
10,1601502,3,2
18,1601001,3,2
9,1200502,3,4
22,1200001,2,1
27,1402000,3,3
26,1200002,2,3
25,1600500,3,2
17,1654000,2,3
5,511001,2,5
26,1402000,3,2
2,1600500,3,2
12,215510,3,1
8,2200300,2,2
29,1402501,3,2
8,1211200,3,2
15,1651503,2,1
27,160102,3,1
7,215513,3,3
7,1200511,3,2
7,1552500,2,3
25,1200001,2,1
10,2154002,3,3
18,2201601,3,1
8,2601001,2,2
7,511001,2,4
15,1702000,2,1
17,1201401,2,5
23,1552500,2,4
19,2650206,3,2
15,119202,2,1
16,1201401,2,3
4,1251000,3,3
4,1252501,3,2
14,1552500,2,2
7,160102,3,1
16,1200502,3,4
7,1702500,3,1
5,1553501,3,2
18,265031,3,1
24,1552500,2,1
2,215510,3,4
14,1200501,3,3
2,1211200,3,4
7,1552500,2,4
15,1450001,2,3
16,1702500,3,3
12,1601002,3,3
9,1403500,2,1
19,1200509,3,3
26,1950500,2,3
10,1650501,2,3
13,511001,2,2
20,215510,3,1
3,2403001,2,4
19,2200300,2,1
11,1200501,3,4
17,2200300,2,5
11,1552500,2,4
13,265031,3,1
22,1655200,3,3
19,51101,2,3
15,1200001,2,2
15,215510,3,3
12,511001,2,2
17,2403001,2,4
20,1650501,2,1
16,1600500,3,2
16,1201401,2,3
5,1601504,3,2
21,1651503,2,2
4,1601001,3,4
3,1200001,2,4
25,1200001,2,3
4,1211200,3,4
12,130353,3,2
23,155250,3,1
17,1552500,2,3
21,1651503,2,3
22,2201806,3,3
10,215514,3,4
24,2201601,3,4
3,2200300,2,2
12,1657200,3,3
24,1450502,3,2
30,1552500,2,2
3,1200800,3,4
15,511001,2,4
24,1200001,2,1
7,215510,3,5
24,1200001,2,3
7,2053000,2,1
17,2155600,3,1
8,511001,2,1
19,1552500,2,3
11,1200502,3,4
17,1200502,3,1
14,1200502,3,1
7,1200001,2,2
20,1552500,2,2
18,1552500,2,1
16,1200001,2,1
24,1553005,3,2
25,1200001,2,1
16,1553008,3,1
29,1200001,2,1
26,1601502,3,2
23,1200001,2,2
24,2201601,3,5
13,1200001,2,3
11,240301,2,3
3,1651503,2,2
4,1553005,3,4
8,2053000,2,3
11,1552500,2,2
27,140100,2,1
5,1200512,3,1
9,1211100,2,1
10,2650201,3,1
25,1402000,3,1
24,1702500,3,2
20,1651503,2,2
26,2650101,2,3
3,1450502,3,1
3,1200502,3,2
12,1200502,3,2
3,1702000,2,3
6,511001,2,4
1,1553008,3,1
26,1211200,3,2
7,511001,2,1
