DAY,LAW_CODE_NUMERIC,DF_LCC,DF_AB
3,2200300,2,4
13,1707002,3,2
30,1552500,2,4
9,2650101,2,4
1,1200001,2,4
5,1552500,2,4
8,1501500,3,2
26,1201401,2,1
26,181400,2,4
28,215510,3,3
5,1202500,3,1
17,2650101,2,1
3,1200001,2,1
4,1950501,2,2
14,2155003,2,4
16,1200001,2,4
7,1202500,3,4
30,1552500,2,3
6,1200503,3,1
5,1200001,2,1
29,1202500,3,5
15,1553004,3,3
1,1212000,2,2
15,2201601,3,2
9,51101,2,4
26,215510,3,2
26,1252501,3,1
4,1657200,3,1
7,1651503,2,1
21,145004,2,4
16,215510,3,4
27,0,1,3
4,2650101,2,3
29,1450001,2,4
9,1200001,2,4
22,1200502,3,1
3,1200001,2,3
7,1200001,2,2
24,1450502,3,3
12,1402000,3,3
11,1552500,2,4
28,1200502,3,3
9,1403500,2,4
11,1553004,3,2
13,0,2,3
21,1200800,3,3
11,1451000,3,1
19,1200001,2,3
11,1950501,2,2
2,2200300,2,5
9,1600500,3,1
19,1211100,2,2
2,1552500,2,4
5,1200800,3,3
17,1200001,2,5
23,1552500,2,2
13,511001,2,2
21,1950500,2,1
20,1211300,3,4
12,511001,2,4
24,1552500,2,3
13,181400,2,4
10,511001,2,3
18,2201601,3,3
18,1402501,3,1
10,2201601,3,4
27,1552500,2,3
30,1552500,2,1
17,1552500,2,3
27,1552500,2,3
22,1651503,2,1
14,1651503,2,2
3,1200001,2,1
30,1552500,2,1
24,1552500,2,5
26,1552500,2,3
23,1452000,3,3
16,6000,2,1
4,1202500,3,2
30,1450502,3,2
24,2155003,2,2
24,1252501,3,1
15,2602002,2,1
25,1552500,2,4
20,1450501,3,4
23,215510,3,1
16,1702000,2,1
11,1306504,3,4
20,2155006,2,1
21,1200800,3,4
26,215510,3,2
10,1211200,3,3
6,2650201,3,1
5,1706502,3,3
17,1200501,3,1
15,1651503,2,4
30,1702500,3,4
22,2155500,2,3
22,1552500,2,3
21,1651503,2,1
2,119202,2,1
26,1211200,3,4
4,2201601,3,1
3,1200001,2,3
9,1211100,2,2
19,1600500,3,1
8,1200001,2,2
14,5110,2,3
10,1600500,3,4
4,2451500,2,1
3,1201401,2,1
7,2204301,3,3
26,1552500,2,3
26,2200300,2,4
6,1601501,3,2
22,1553005,3,4
8,1702000,2,4
13,1552500,2,3
16,2650303,3,1
5,2155001,2,2
4,511001,2,2
10,2201803,3,1
21,1402000,3,2
14,1702000,2,4
6,1402501,3,1
1,1200502,3,4
6,1456002,2,1
28,2200300,2,2
3,119202,2,1
15,1402502,3,1
11,2200601,3,4
14,1211200,3,2
17,1200001,2,4
4,1553004,3,3
15,1450001,2,3
23,1402502,3,2
11,1200001,2,2
8,1305201,2,2
16,215510,3,1
15,215510,3,1
24,2200300,2,3
12,1601001,3,1
20,1450004,2,1
27,1200001,2,4
11,1200001,2,2
13,1552500,2,3
22,1552500,2,2
8,1200001,2,3
12,1200001,2,3
11,5110,2,1
16,1654505,3,2
19,1200001,2,3
26,1201401,2,4
17,2203901,3,1
19,2200300,2,2
12,1211100,2,3
19,1200502,3,2
3,2201601,3,2
10,2650201,3,4
9,1654502,3,4
27,2155600,3,4
9,1650501,2,1
30,511001,2,2
18,2650101,2,4
5,0,1,4
30,1212000,2,2
23,1201500,2,3
10,2200300,2,1
23,119203,2,1
16,2155002,2,2
19,215510,3,4
29,4902001,3,1
25,1552500,2,3
14,1600500,3,3
22,1702000,2,2
29,215511,3,2
24,1402000,3,4
25,2200601,3,4
10,1211100,2,2
4,1600500,3,2
6,1211100,2,4
18,1552500,2,3
25,5110,2,5
5,160102,3,3
9,2200300,2,3
15,1201401,2,4
13,215510,3,1
25,1200502,3,2
17,51101,2,4
8,1553008,3,1
17,1553005,3,2
14,1200001,2,1
4,1553001,3,1
29,2200300,2,3
30,1553501,3,3
12,1553001,3,1
4,1200001,2,4
13,511001,2,1
13,1200001,2,1
23,1601504,3,2
14,5110,2,3
10,1651503,2,2
1,119202,2,2
5,512000,2,1
12,1200001,2,1
20,2200601,3,1
3,1200001,2,3
2,1211200,3,2
1,1402501,3,3
20,2201601,3,2
15,1402000,3,1
28,1651503,2,3
5,1552500,2,3
16,1950700,3,2
18,1702000,2,2
12,1552500,2,4
11,1200800,3,2
30,1553008,3,4
17,1552500,2,3
7,1200001,2,5
19,1402000,3,4
9,1211200,3,1
7,265031,3,3
6,511001,2,2
18,1654000,2,2
16,1200501,3,3
13,1553001,3,3
27,1553001,3,4
27,1202000,2,2
5,1651503,2,3
27,1702500,3,4
22,1211200,3,2
10,2650102,2,3
26,2053000,2,3
10,1553501,3,2
18,511001,2,2
19,1552500,2,4
5,1200502,3,3
16,1552500,2,4
3,1552500,2,4
13,1211300,3,1
26,1553001,3,3
8,1200800,3,1
16,5700600,4,4
18,2203901,3,1
21,1601002,3,3
3,119807,2,4
9,1651503,2,1
2,2601001,2,2
13,1902300,2,1
22,1654000,2,3
4,1211100,2,4
28,1552500,2,4
14,0,1,2
7,2200300,2,1
8,215510,3,4
30,1402000,3,1
18,1651503,2,1
9,1651503,2,3
4,2155201,3,1
7,1201401,2,2
14,1651503,2,2
3,215510,3,4
3,1201401,2,4
25,1402000,3,4
1,1601503,3,4
10,1552500,2,2
26,1553005,3,3
18,1651503,2,2
19,160102,3,4
10,1200001,2,4
5,1552500,2,1
20,215510,3,1
10,1700500,2,2
29,1200700,3,2
23,1654000,2,3
25,1456002,2,3
5,1211300,3,1
13,2201601,3,3
25,5700600,4,4
21,1702000,2,1
16,1200001,2,2
9,1654502,3,3
8,265031,3,2
5,1702000,2,2
15,1450501,3,2
6,1552500,2,3
30,2203901,3,2
11,2403200,3,2
14,1651503,2,1
5,2052001,2,2
23,1200502,3,1
9,1552500,2,3
6,1450502,3,4
19,1553502,3,3
1,1552500,2,2
20,2650101,2,1
7,1552500,2,5
17,1456002,2,1
